Q,A,O,P
-0.00,0.00,4.33,4.61,
-0.00,0.00,4.41,4.61,
-0.00,0.00,4.49,4.61,
-0.00,0.01,4.55,4.61,
-0.00,0.01,4.59,4.61,
-0.00,0.01,4.63,4.61,
-0.00,0.01,4.65,4.61,
-0.00,0.01,4.66,4.61,
-0.00,0.01,4.67,4.61,
-0.00,0.01,4.66,4.61,
-0.00,0.01,4.64,4.61,
-0.00,0.01,4.62,4.61,
-0.00,0.01,4.58,4.61,
-0.00,0.01,4.54,4.61,
-0.00,0.01,4.50,4.61,
-0.00,0.01,4.44,4.61,
-0.00,0.01,4.39,4.61,
-0.00,0.01,4.32,4.61,
-0.00,0.01,4.25,4.60,
-0.00,0.01,4.18,4.60,
-0.00,0.01,4.10,4.60,
-0.00,0.01,4.02,4.60,
-0.00,0.01,3.94,4.60,
-0.00,0.01,3.85,4.60,
-0.00,0.01,3.76,4.60,
-0.00,0.01,3.67,4.60,
-0.00,0.01,3.57,4.60,
-0.00,0.01,3.47,4.60,
-0.00,0.01,3.37,4.60,
-0.00,0.01,3.26,4.60,
-0.00,0.01,3.16,4.60,
-0.00,0.01,3.05,4.60,
-0.00,0.01,2.93,4.60,
-0.00,0.00,2.82,4.60,
-0.00,0.00,2.70,4.60,
-0.00,0.00,2.58,4.60,
-0.00,0.00,2.46,4.60,
-0.00,0.00,2.33,4.60,
-0.00,0.00,2.20,4.60,
-0.00,0.00,2.07,4.60,
-0.00,0.00,1.93,4.60,
-0.00,0.00,1.79,4.60,
-0.00,0.00,1.64,4.60,
-0.00,0.00,1.49,4.60,
-0.00,0.00,1.34,4.60,
-0.00,0.00,1.17,4.60,
-0.00,0.00,1.00,4.60,
-0.00,0.00,0.83,4.60,
-0.00,0.00,0.64,4.60,
-0.00,0.00,0.45,4.60,
-0.00,0.00,0.25,4.60,
-0.00,0.00,0.04,4.60,
-0.00,0.00,-0.18,4.59,
-0.00,0.00,-0.41,4.59,
-0.00,-0.00,-0.65,4.59,
-0.00,-0.00,-0.89,4.59,
-0.00,-0.00,-1.14,4.59,
-0.00,-0.00,-1.40,4.59,
-0.00,-0.00,-1.66,4.59,
-0.00,-0.00,-1.92,4.59,
-0.00,-0.00,-2.18,4.59,
-0.00,-0.00,-2.43,4.59,
-0.00,-0.00,-2.67,4.59,
-0.00,-0.00,-2.90,4.59,
-0.00,-0.00,-3.13,4.59,
-0.00,-0.00,-3.33,4.59,
-0.00,-0.00,-3.53,4.59,
-0.00,-0.00,-3.70,4.59,
-0.00,-0.00,-3.87,4.59,
-0.00,-0.00,-4.01,4.59,
-0.00,-0.00,-4.14,4.59,
-0.00,-0.00,-4.26,4.59,
-0.00,-0.00,-4.35,4.59,
-0.00,-0.00,-4.44,4.59,
-0.00,-0.00,-4.51,4.59,
-0.00,-0.00,-4.56,4.59,
-0.00,-0.00,-4.61,4.59,
-0.00,-0.00,-4.64,4.59,
-0.00,-0.00,-4.66,4.59,
-0.00,-0.00,-4.67,4.59,
-0.00,-0.00,-4.67,4.59,
-0.00,-0.00,-4.65,4.59,
-0.00,-0.00,-4.64,4.59,
-0.00,-0.00,-4.61,4.59,
-0.00,-0.00,-4.57,4.59,
-0.00,-0.00,-4.53,4.59,
-0.00,-0.00,-4.48,4.59,
-0.00,-0.00,-4.43,4.59,
-0.00,-0.00,-4.37,4.59,
-0.00,-0.00,-4.30,4.59,
-0.00,-0.00,-4.23,4.59,
-0.00,-0.00,-4.16,4.59,
-0.00,-0.00,-4.08,4.59,
-0.00,-0.00,-4.00,4.59,
-0.00,-0.00,-3.91,4.58,
-0.00,-0.00,-3.82,4.58,
-0.00,-0.00,-3.73,4.58,
-0.00,-0.00,-3.64,4.58,
-0.00,-0.00,-3.54,4.58,
-0.00,-0.00,-3.44,4.58,
-0.00,-0.00,-3.34,4.58,
-0.00,-0.00,-3.23,4.58,
-0.00,-0.00,-3.12,4.58,
-0.00,-0.00,-3.01,4.58,
-0.00,-0.00,-2.90,4.58,
-0.00,-0.00,-2.78,4.58,
-0.00,-0.00,-2.67,4.58,
-0.00,-0.00,-2.55,4.58,
-0.00,-0.00,-2.42,4.58,
-0.00,-0.00,-2.29,4.58,
-0.00,-0.00,-2.16,4.58,
-0.00,-0.00,-2.03,4.58,
-0.00,-0.00,-1.89,4.58,
-0.00,-0.00,-1.75,4.58,
-0.00,-0.00,-1.60,4.58,
-0.00,-0.00,-1.45,4.58,
-0.00,-0.00,-1.29,4.58,
-0.00,-0.00,-1.12,4.58,
-0.00,-0.00,-0.95,4.58,
-0.00,-0.00,-0.77,4.58,
-0.00,0.00,-0.59,4.58,
-0.00,0.00,-0.39,4.58,
-0.00,0.00,-0.19,4.58,
-0.00,0.00,0.03,4.58,
-0.00,0.00,0.25,4.58,
-0.00,0.00,0.48,4.58,
-0.00,0.00,0.72,4.58,
-0.00,0.00,0.97,4.58,
-0.00,0.00,1.22,4.58,
-0.00,0.00,1.48,4.58,
-0.00,0.00,1.74,4.58,
-0.00,0.00,2.00,4.58,
-0.00,0.00,2.25,4.58,
-0.00,0.00,2.50,4.58,
-0.00,0.00,2.74,4.58,
-0.00,0.00,2.97,4.58,
-0.00,0.00,3.19,4.58,
-0.00,0.00,3.39,4.58,
-0.00,0.00,3.58,4.58,
-0.00,0.00,3.75,4.58,
-0.00,0.00,3.91,4.58,
-0.00,0.00,4.05,4.58,
-0.00,0.00,4.18,4.58,
-0.00,0.00,4.29,4.58,
-0.00,0.00,4.38,4.58,
-0.00,0.00,4.46,4.58,
-0.00,0.00,4.53,4.58,
-0.00,0.00,4.58,4.58,
-0.00,0.00,4.62,4.57,
-0.00,0.00,4.65,4.57,
-0.00,0.00,4.66,4.57,
-0.00,0.00,4.67,4.57,
-0.00,0.00,4.66,4.57,
-0.00,0.00,4.65,4.57,
-0.00,0.00,4.63,4.57,
-0.00,0.00,4.60,4.57,
-0.00,0.00,4.56,4.57,
-0.00,0.00,4.52,4.57,
-0.00,0.00,4.47,4.57,
-0.00,0.00,4.41,4.57,
-0.00,0.00,4.35,4.57,
-0.00,0.00,4.28,4.57,
-0.00,0.00,4.21,4.57,
-0.00,0.00,4.14,4.57,
-0.00,0.00,4.06,4.57,
-0.00,0.00,3.97,4.57,
-0.00,0.00,3.89,4.57,
-0.00,0.00,3.80,4.57,
-0.00,0.00,3.70,4.57,
-0.00,0.00,3.61,4.57,
-0.00,0.00,3.51,4.57,
-0.00,0.00,3.41,4.57,
-0.00,0.00,3.31,4.57,
-0.00,0.00,3.20,4.57,
-0.00,0.00,3.09,4.57,
-0.00,0.00,2.98,4.57,
-0.00,0.00,2.87,4.57,
-0.00,0.00,2.75,4.57,
-0.00,0.00,2.63,4.57,
-0.00,0.00,2.51,4.57,
-0.00,0.00,2.38,4.57,
-0.00,0.00,2.26,4.57,
-0.00,0.00,2.12,4.57,
-0.00,0.00,1.99,4.57,
-0.00,0.00,1.85,4.57,
-0.00,0.00,1.70,4.57,
-0.00,-0.00,1.55,4.57,
-0.00,-0.00,1.40,4.57,
-0.00,-0.00,1.24,4.57,
-0.00,-0.00,1.07,4.57,
-0.00,-0.00,0.90,4.57,
-0.00,-0.00,0.72,4.57,
-0.00,-0.00,0.53,4.57,
-0.00,-0.00,0.33,4.57,
-0.00,-0.00,0.12,4.57,
-0.00,-0.00,-0.09,4.57,
-0.00,-0.00,-0.32,4.57,
-0.00,-0.00,-0.55,4.57,
-0.00,-0.00,-0.79,4.57,
-0.00,-0.00,-1.04,4.57,
-0.00,-0.00,-1.30,4.57,
-0.00,-0.00,-1.55,4.57,
-0.00,-0.00,-1.81,4.57,
-0.00,-0.00,-2.07,4.57,
-0.00,-0.00,-2.33,4.57,
-0.00,-0.00,-2.57,4.57,
-0.00,-0.00,-2.81,4.57,
-0.00,-0.00,-3.04,4.57,
-0.00,-0.00,-3.25,4.57,
-0.00,-0.00,-3.45,4.57,
-0.00,-0.00,-3.63,4.57,
-0.00,-0.00,-3.80,4.57,
-0.00,-0.00,-3.95,4.57,
-0.00,-0.00,-4.09,4.57,
-0.00,-0.00,-4.21,4.57,
-0.00,-0.00,-4.32,4.57,
-0.00,-0.00,-4.41,4.57,
-0.00,-0.00,-4.48,4.57,
-0.00,-0.00,-4.54,4.57,
-0.00,-0.00,-4.59,4.57,
-0.00,-0.00,-4.63,4.57,
-0.00,-0.00,-4.65,4.57,
-0.00,-0.00,-4.66,4.57,
-0.00,-0.00,-4.67,4.57,
-0.00,-0.00,-4.66,4.56,
-0.00,-0.00,-4.64,4.56,
-0.00,-0.00,-4.62,4.56,
-0.00,-0.00,-4.59,4.56,
-0.00,-0.00,-4.55,4.56,
-0.00,-0.00,-4.50,4.56,
-0.00,-0.00,-4.45,4.56,
-0.00,-0.00,-4.39,4.56,
-0.00,-0.00,-4.33,4.56,
-0.00,-0.00,-4.26,4.56,
-0.00,-0.00,-4.19,4.56,
-0.00,-0.00,-4.11,4.56,
-0.00,-0.00,-4.03,4.56,
-0.00,-0.00,-3.95,4.56,
-0.00,-0.00,-3.86,4.56,
-0.00,-0.00,-3.77,4.56,
-0.00,-0.00,-3.68,4.56,
-0.00,-0.00,-3.58,4.56,
-0.00,-0.00,-3.48,4.56,
-0.00,-0.00,-3.38,4.56,
-0.00,-0.00,-3.27,4.56,
-0.00,-0.00,-3.17,4.56,
-0.00,-0.00,-3.06,4.56,
-0.00,-0.00,-2.95,4.56,
-0.00,-0.00,-2.83,4.56,
-0.00,-0.00,-2.71,4.56,
-0.00,-0.00,-2.59,4.56,
-0.00,-0.00,-2.47,4.56,
-0.00,0.00,-2.35,4.56,
-0.00,0.00,-2.22,4.56,
-0.00,0.00,-2.08,4.56,
-0.00,0.00,-1.95,4.56,
-0.00,0.00,-1.81,4.56,
-0.00,0.00,-1.66,4.56,
-0.00,0.00,-1.51,4.56,
-0.00,0.00,-1.35,4.56,
-0.00,0.00,-1.19,4.56,
-0.00,0.00,-1.02,4.56,
-0.00,0.00,-0.85,4.56,
-0.00,0.00,-0.66,4.56,
-0.00,0.00,-0.47,4.56,
-0.00,0.00,-0.27,4.56,
-0.00,0.00,-0.06,4.56,
-0.00,0.00,0.16,4.56,
-0.00,0.00,0.38,4.56,
-0.00,0.00,0.62,4.56,
-0.00,0.00,0.87,4.56,
-0.00,0.00,1.12,4.56,
-0.00,0.00,1.37,4.56,
-0.00,0.00,1.63,4.56,
-0.00,0.00,1.89,4.56,
-0.00,0.00,2.15,4.56,
-0.00,0.00,2.40,4.56,
-0.00,0.00,2.64,4.56,
-0.00,0.00,2.88,4.56,
-0.00,0.00,3.10,4.56,
-0.00,0.00,3.31,4.56,
-0.00,0.00,3.51,4.56,
-0.00,0.00,3.69,4.56,
-0.00,0.00,3.85,4.56,
-0.00,0.00,4.00,4.56,
-0.00,0.00,4.13,4.56,
-0.00,0.00,4.24,4.56,
-0.00,0.00,4.34,4.56,
-0.00,0.00,4.43,4.56,
-0.00,0.00,4.50,4.56,
-0.00,0.00,4.56,4.56,
-0.00,0.00,4.60,4.56,
-0.00,0.00,4.64,4.56,
-0.00,0.00,4.66,4.56,
-0.00,0.00,4.67,4.56,
-0.00,0.00,4.67,4.56,
-0.00,0.00,4.66,4.56,
-0.00,0.00,4.64,4.56,
-0.00,0.00,4.61,4.56,
-0.00,0.00,4.58,4.56,
-0.00,0.00,4.54,4.56,
-0.00,0.00,4.49,4.56,
-0.00,0.00,4.43,4.56,
-0.00,0.00,4.37,4.56,
-0.00,0.00,4.31,4.56,
-0.00,0.00,4.24,4.56,
-0.00,0.00,4.17,4.56,
-0.00,0.00,4.09,4.56,
-0.00,0.00,4.01,4.56,
-0.00,0.00,3.92,4.56,
-0.00,0.00,3.83,4.56,
-0.00,0.00,3.74,4.56,
-0.00,0.00,3.65,4.56,
-0.00,0.00,3.55,4.56,
-0.00,0.00,3.45,4.56,
-0.00,0.00,3.35,4.56,
-0.00,0.00,3.24,4.56,
-0.00,0.00,3.14,4.56,
-0.00,0.00,3.03,4.56,
-0.00,-0.00,2.91,4.56,
-0.00,-0.00,2.80,4.56,
-0.00,-0.00,2.68,4.56,
-0.00,-0.00,2.56,4.56,
-0.00,-0.00,2.43,4.56,
-0.00,-0.00,2.31,4.56,
-0.00,-0.00,2.18,4.56,
-0.00,-0.00,2.04,4.56,
-0.00,-0.00,1.91,4.56,
-0.00,-0.00,1.76,4.56,
-0.00,-0.00,1.62,4.56,
-0.00,-0.00,1.46,4.56,
-0.00,-0.00,1.31,4.56,
-0.00,-0.00,1.14,4.56,
-0.00,-0.00,0.97,4.56,
-0.00,-0.00,0.79,4.56,
-0.00,-0.00,0.61,4.56,
-0.00,-0.00,0.41,4.56,
-0.00,-0.00,0.21,4.56,
-0.00,-0.00,-0.00,4.56,
-0.00,-0.00,-0.22,4.56,
-0.00,-0.00,-0.45,4.56,
-0.00,-0.00,-0.69,4.56,
-0.00,-0.00,-0.94,4.56,
-0.00,-0.00,-1.19,4.56,
-0.00,-0.00,-1.45,4.56,
-0.00,-0.00,-1.71,4.56,
-0.00,-0.00,-1.97,4.56,
-0.00,-0.00,-2.22,4.56,
-0.00,-0.00,-2.47,4.56,
-0.00,-0.00,-2.72,4.56,
-0.00,-0.00,-2.95,4.55,
-0.00,-0.00,-3.17,4.55,
-0.00,-0.00,-3.37,4.55,
-0.00,-0.00,-3.56,4.55,
-0.00,-0.00,-3.74,4.55,
-0.00,-0.00,-3.90,4.55,
-0.00,-0.00,-4.04,4.55,
-0.00,-0.00,-4.16,4.55,
-0.00,-0.00,-4.28,4.55,
-0.00,-0.00,-4.37,4.55,
-0.00,-0.00,-4.45,4.55,
-0.00,-0.00,-4.52,4.55,
-0.00,-0.00,-4.57,4.55,
-0.00,-0.00,-4.61,4.55,
-0.00,-0.00,-4.64,4.55,
-0.00,-0.00,-4.66,4.55,
-0.00,-0.00,-4.67,4.55,
-0.00,-0.00,-4.66,4.55,
-0.00,-0.00,-4.65,4.55,
-0.00,-0.00,-4.63,4.55,
-0.00,-0.00,-4.60,4.55,
-0.00,-0.00,-4.57,4.55,
-0.00,-0.00,-4.52,4.55,
-0.00,-0.00,-4.47,4.55,
-0.00,-0.00,-4.42,4.55,
-0.00,-0.00,-4.36,4.55,
-0.00,-0.00,-4.29,4.55,
-0.00,-0.00,-4.22,4.55,
-0.00,-0.00,-4.14,4.55,
-0.00,-0.00,-4.07,4.55,
-0.00,-0.00,-3.98,4.55,
-0.00,-0.00,-3.90,4.55,
-0.00,-0.00,-3.81,4.55,
-0.00,-0.00,-3.72,4.55,
-0.00,-0.00,-3.62,4.55,
-0.00,0.00,-3.52,4.55,
-0.00,0.00,-3.42,4.55,
-0.00,0.00,-3.32,4.55,
-0.00,0.00,-3.21,4.55,
-0.00,0.00,-3.10,4.55,
-0.00,0.00,-2.99,4.55,
-0.00,0.00,-2.88,4.55,
-0.00,0.00,-2.76,4.55,
-0.00,0.00,-2.64,4.55,
-0.00,0.00,-2.52,4.55,
-0.00,0.00,-2.40,4.55,
-0.00,0.00,-2.27,4.55,
-0.00,0.00,-2.14,4.55,
-0.00,0.00,-2.00,4.55,
-0.00,0.00,-1.86,4.55,
